Transportadora;CIDADE ORIGEM;CIDADE DESTINO;UF;Até 10kg;Até 20kg;Até 30kg; Até 40kg ; Até 50kg ; Até 60kg ; Até 70kg ;Até 80kg;Até 90kg;Até 100kg;Até 150kg;TX Embarque;Frete Valor;Frete Peso; TX ADM ;GRIS; GRISS MINIMO ; TDE ; TAXA QUIMICO ; QTDE PRAÇA ;FRAÇÃO;MINIMO; Sigla Praça 
TRANSVELLI;São José dos Pinhais;ARAUCARIA;PR;;;;;;;;;;;;;1,00%;0,45000; R$ 3,50 ;0,20%;;;;;;;
TRANSVELLI;São José dos Pinhais;CAMPO LARGO;PR;;;;;;;;;;;;;1,00%;0,45000; R$ 3,50 ;0,20%;;;;;;;
TRANSVELLI;São José dos Pinhais;CAMPO MAGRO;PR;;;;;;;;;;;;;1,00%;0,49000; R$ 3,50 ;0,20%;;;;;;;
TRANSVELLI;São José dos Pinhais;COLOMBO;PR;;;;;;;;;;;;;1,00%;0,45000; R$ 3,50 ;0,20%;;;;;;;
TRANSVELLI;São José dos Pinhais;CURITIBA;PR;;;;;;;;;;;;;1,00%;0,45000; R$ 3,50 ;0,20%;;;;;;;
TRANSVELLI;São José dos Pinhais;FAZENDA RIO GRANDE;PR;;;;;;;;;;;;;1,00%;0,45000; R$ 3,50 ;0,20%;;;;;;;
TRANSVELLI;São José dos Pinhais;MANDIRITUBA;PR;;;;;;;;;;;;;1,00%;0,45000; R$ 3,50 ;0,20%;;;;;;;
SC TRANSPORTES;JOINVILLE;ATALANTA;SC; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ;;;3,08%;0,46200;;;;;;;;;
ALFA;DIADEMA;SAO JOSE DOS PINHAIS;PR; R$ 34,62 ; R$ 41,31 ; R$ 41,31 ; R$ 48,02 ; R$ 48,02 ; R$ 54,69 ; R$ 54,69 ; R$ 64,74 ; R$ 64,74 ; R$ 64,74 ; R$ 81,48 ; R$ 31,26 ;0,20%;0,45680; R$ 4,13 ;0,15%;3,68;;50%;;;;
ALFA;Vargem Grande Paulista;SAO JOSE DOS PINHAIS;PR; R$ 34,62 ; R$ 41,31 ; R$ 41,31 ; R$ 48,02 ; R$ 48,02 ; R$ 54,69 ; R$ 54,69 ; R$ 64,74 ; R$ 64,74 ; R$ 64,74 ; R$ 81,48 ; R$ 31,26 ;0,20%;0,45680; R$ 4,13 ;0,15%;3,68;;50%;;;;
ALFA;JOINVILLE;SAO LEOPOLDO;RS; R$ 37,62 ; R$ 37,62 ; R$ 45,06 ; R$ 45,06 ; R$ 52,47 ; R$ 52,47 ; R$ 59,88 ; R$ 59,88 ; R$ 71,05 ; R$ 71,05 ; R$ 89,61 ; R$ 33,80 ;0,20%;0,50680; R$ 4,45 ;0,15%;3,16;;50%;;;;
ALFA;PORTO ALEGRE;SAO LOURENCO DO SUL;RS; R$ 27,43 ; R$ 32,43 ; R$ 32,43 ; R$ 37,43 ; R$ 37,43 ; R$ 42,40 ; R$ 42,40 ; R$ 49,89 ; R$ 49,89 ; R$ 49,89 ; R$ 62,34 ; R$ 24,94 ;0,20%;0,33750; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;PORTO ALEGRE;SAO LUIZ GONZAGA;RS; R$ 32,23 ; R$ 38,46 ; R$ 38,46 ; R$ 44,71 ; R$ 44,71 ; R$ 50,92 ; R$ 50,92 ; R$ 60,27 ; R$ 60,27 ; R$ 60,27 ; R$ 75,85 ; R$ 29,10 ;0,20%;0,42180; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;PORTO ALEGRE;SAO MARTINHO;RS; R$ 41,23 ; R$ 49,39 ; R$ 49,39 ; R$ 57,51 ; R$ 57,51 ; R$ 65,64 ; R$ 65,64 ; R$ 77,88 ; R$ 77,88 ; R$ 77,88 ; R$ 98,23 ; R$ 37,15 ;0,20%;0,55100; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;PORTO ALEGRE;SAO MIGUEL DAS MISSOES;RS; R$ 32,31 ; R$ 38,56 ; R$ 38,56 ; R$ 44,82 ; R$ 44,82 ; R$ 51,05 ; R$ 51,05 ; R$ 60,42 ; R$ 60,42 ; R$ 60,42 ; R$ 76,04 ; R$ 29,17 ;0,20%;0,42290; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;JOINVILLE;SAO MIGUEL DO OESTE;SC; R$ 37,62 ; R$ 45,06 ; R$ 45,06 ; R$ 52,47 ;R$ 52,47; R$ 59,88 ; R$ 59,88 ; R$ 71,05 ; R$ 71,05 ; R$ 71,05 ; R$ 89,61 ; R$ 33,89 ;0,20%;0,50680; R$ 4,45 ;0,15%;3,35;;50%;;;;
Expresso Princesa;CURITIBA;ALTO PARANA;PR; R$ 31,86 ; R$ 34,76 ; R$ 37,66 ; R$ 43,47 ; R$ 43,47 ; R$ 46,36 ; R$ 43,36 ; R$ 57,93 ; R$ 57,93 ; R$ 57,93 ;;;0,30%;0,58000;;0,10%;;;;;;;
AGEX;ARAPONGAS;MAUA DA SERRA;PR; R$ 33,05 ; R$ 35,81 ; R$ 35,81 ; R$ 41,31 ; R$ 41,31 ; R$ 44,07 ; R$ 44,07 ; R$ 55,08 ; R$ 55,08 ; R$ 55,08 ;;;0,30%;0,55000;;0,10%;;;;;;;
Ouro Negro;Joinville;Sao Joao do Sul;SC; R$ 26,48 ; R$ 28,39 ; R$ 30,27 ; R$ 30,27 ; R$ 32,15 ;;;;;;;;0,25%;0,32340; R$ 3,27 ;;;;;;;;
SC TRANSPORTES;JOINVILLE;TIJUCAS;SC; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ;;;3,08%;0,46200;;;;;;;;;
SC TRANSPORTES;JOINVILLE;IOMERE;SC; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ;;;3,08%;0,46200;;;;;;;;;
AGEX;ARAPONGAS;IMBITUVA;PR; R$ 33,05 ; R$ 35,81 ; R$ 35,81 ; R$ 41,31 ; R$ 41,31 ; R$ 44,07 ; R$ 44,07 ; R$ 55,08 ; R$ 55,08 ; R$ 55,08 ;;;0,30%;0,55000;;0,10%;;;;;;;
ALFA;JOINVILLE;SÃO PAULO;SP; R$ 38,35 ; R$ 38,35 ; R$ 45,77 ; R$ 45,77 ;R$ 53,20; R$ 56,20 ; R$ 60,60 ; R$ 60,60 ; R$ 60,60 ; R$ 71,73 ; R$ 90,27 ; R$ 34,63 ;0,20%;0,50600; R$ 4,45 ;0,15%;3,35;;50%;;;;
ALFA;PORTO ALEGRE;SAO PAULO DAS MISSOES;RS; R$ 35,77 ; R$ 42,84 ; R$ 42,84 ; R$ 49,89 ; R$ 49,89 ; R$ 56,94 ; R$ 56,94 ; R$ 67,55 ; R$ 67,55 ; R$ 67,55 ; R$ 85,21 ; R$ 32,22 ;0,20%;0,47800; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;PORTO ALEGRE;SAO SEBASTIAO DO CAI;RS; R$ 23,71 ; R$ 28,03 ; R$ 28,03 ; R$ 32,35 ; R$ 32,35 ; R$ 36,66 ; R$ 36,66 ; R$ 43,15 ; R$ 43,15 ; R$ 43,15 ; R$ 53,91 ; R$ 21,56 ;0,20%;0,29190; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;PORTO ALEGRE;Sarandi;RS; R$ 27,43 ; R$ 32,43 ; R$ 32,43 ; R$ 37,43 ; R$ 37,43 ; R$ 42,40 ; R$ 42,40 ; R$ 49,89 ; R$ 49,89 ; R$ 49,89 ; R$ 62,34 ; R$ 24,94 ;0,20%;0,33750; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;PORTO ALEGRE;SERAFINA CORREA;RS; R$ 24,57 ; R$ 29,06 ; R$ 29,06 ; R$ 33,53 ; R$ 33,53 ; R$ 37,99 ; R$ 37,99 ; R$ 44,70 ; R$ 44,70 ; R$ 44,70 ; R$ 55,83 ; R$ 22,34 ;0,20%;0,25400; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
Aceville;Guarulhos;Joinville;SC; R$ 52,79 ; R$ 52,79 ; R$ 52,79 ; R$ 58,15 ; R$ 58,15 ; R$ 63,22 ; R$ 63,22 ; R$ 63,22 ; R$ 68,28 ; R$ 68,28 ;; R$ 54,07 ;0,40%;0,42280;;0,15%;;;;;;;
DILSON RENATO;CHAPECO;ANCHIETA;SC; R$ 59,00 ; R$ 65,00 ; R$ 65,00 ; R$ 70,00 ; R$ 70,00 ; R$ 76,00 ; R$ 76,00 ; R$ 76,00 ; R$ 76,00 ; R$ 76,00 ;;;0,50%;0,40000;;;;;;;;;
Transmagna;GUARULHOS;ARAPONGAS;PR; R$ 93,54 ; R$ 93,54 ; R$ 93,54 ; R$ 93,54 ; R$ 93,54 ; R$ 131,64 ; R$ 131,64 ; R$ 131,64 ; R$ 131,64 ; R$ 131,64 ;; R$ 44,99 ;0,35%;0,83146;;0,10%; R$ 4,27 ;;;;;;
ALFA;JOINVILLE;SUMARE;SP; R$ 35,49 ; R$ 42,51 ; R$ 42,51 ; R$ 49,50 ;R$ 49,50; R$ 56,49 ; R$ 56,49 ; R$ 67,03 ; R$ 67,03 ; R$ 67,03 ; R$ 84,54 ; R$ 31,97 ;0,20%;0,47810; R$ 4,45 ;0,15%;3,16;;50%;;;;
ALFA;JOINVILLE;Taio;SC; R$ 27,20 ; R$ 27,20 ; R$ 32,17 ; R$ 32,17 ;R$ 37,12; R$ 37,12 ; R$ 42,06 ; R$ 42,06 ; R$ 42,06 ; R$ 49,48 ; R$ 61,81 ; R$ 24,73 ;0,20%;0,33730; R$ 4,45 ;0,15%;3,35;;50%;;;;
ALFA;CHAPECO;TANGARA;SC; R$ 46,24 ; R$ 54,68 ; R$ 54,68 ; R$ 63,09 ; R$ 63,09 ; R$ 71,50 ; R$ 71,50 ; R$ 84,11 ; R$ 84,11 ; R$ 84,11 ; R$ 105,06 ; R$ 42,05 ;0,40%;0,47780; R$ 3,50 ;0,15%;3,12;;50%;;;;
ALFA;JOINVILLE;TANGARA;SC; R$ 32,65 ; R$ 32,65 ; R$ 38,60 ; R$ 38,60 ;R$ 44,55; R$ 44,55 ; R$ 50,46 ; R$ 50,46 ; R$ 50,46 ; R$ 59,37 ; R$ 74,19 ; R$ 29,67 ;0,20%;0,40500; R$ 4,45 ;0,15%;3,35;;50%;;;;
ALFA;PORTO ALEGRE;TAQUARA;RS; R$ 23,71 ; R$ 28,03 ; R$ 28,03 ; R$ 32,35 ; R$ 32,35 ; R$ 36,66 ; R$ 36,66 ; R$ 43,15 ; R$ 43,15 ; R$ 43,15 ; R$ 53,91 ; R$ 21,56 ;0,20%;0,29190; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
A+ TRANSPORTES;São José dos Pinhais;Concórdia;SC; R$ 40,00 ; R$ 40,00 ; R$ 40,00 ; R$ 40,00 ; R$ 40,00 ;;;;;;;;;0,40000;;;;;;;;;
Ouro Negro;PALHOCA;ITAJAI;SC; R$ 29,38 ; R$ 34,28 ; R$ 44,07 ; R$ 48,97 ; R$ 48,97 ; R$ 51,42 ; R$ 51,42 ; R$ 56,31 ; R$ 56,31 ; R$ 56,31 ;;;0,30%;0,25000; R$ 5,10 ;0,15%;;;;;;;
Ouro Negro;Joinville;SAO JOSE;SC; R$ 23,54 ; R$ 25,11 ; R$ 26,67 ; R$ 28,24 ; R$ 28,24 ;;;;;;;;0,25%;0,34611; R$ 3,27 ;;;;;;;;
AGEX;ARAPONGAS;GUARAPUAVA;PR; R$ 28,89 ; R$ 31,29 ; R$ 31,29 ; R$ 36,11 ; R$ 36,11 ; R$ 38,52 ; R$ 38,52 ; R$ 48,15 ; R$ 48,15 ; R$ 48,15 ;;;0,30%;0,48000;;0,10%;;;;;;;
ALFA;PORTO ALEGRE;TENENTE PORTELA;RS; R$ 37,15 ; R$ 44,34 ; R$ 44,34 ; R$ 51,54 ; R$ 51,54 ; R$ 58,70 ; R$ 58,70 ; R$ 69,48 ; R$ 69,48 ; R$ 69,48 ; R$ 87,45 ; R$ 33,55 ;0,20%;0,4863; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;JOINVILLE;TIMBO GRANDE;SC; R$ 32,65 ; R$ 32,65 ; R$ 38,60 ; R$ 38,60 ;R$ 44,55; R$ 44,55 ; R$ 50,46 ; R$ 50,46 ; R$ 50,46 ; R$ 59,37 ; R$ 74,19 ; R$ 29,67 ;0,20%;0,40500; R$ 4,45 ;0,15%;3,35;;50%;;;;
ALFA;PORTO ALEGRE;TORRES;RS; R$ 26,35 ; R$ 31,16 ; R$ 31,16 ; R$ 35,95 ; R$ 35,95 ; R$ 40,75 ; R$ 40,75 ; R$ 47,93 ; R$ 47,93 ; R$ 47,93 ; R$ 59,88 ; R$ 23,96 ;0,20%;0,32420; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
SC TRANSPORTES;JOINVILLE;PEDRAS GRANDES;SC; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ;;;3,08%;0,46200;;;;;;;;;
EXPRESSO PRINCESA;SAO PAULO;SAO JOSE DOS PINHAIS;PR; R$ 34,32 ; R$ 34,32 ; R$ 36,80 ; R$ 42,45 ; R$ 42,45 ; R$ 45,29 ; R$ 45,29 ; R$ 56,62 ; R$ 56,62 ; R$ 56,62 ;;;0,30%;0,57000;;0,10%;;;;;;;
Expresso Princesa;CURITIBA;IPIRANGA;PR; R$ 31,86 ; R$ 34,76 ; R$ 37,66 ; R$ 43,47 ; R$ 43,47 ; R$ 46,36 ; R$ 43,36 ; R$ 57,93 ; R$ 57,93 ; R$ 57,93 ;;;0,30%;0,58000;;0,10%;;;;;;;
Expresso Princesa;ARAPONGAS;GUARAPUAVA;PR; R$ 32,08 ; R$ 34,99 ; R$ 37,91 ; R$ 43,74 ; R$ 43,74 ; R$ 46,65 ; R$ 46,65 ; R$ 58,32 ; R$ 58,32 ; R$ 58,32 ;;;0,30%;0,58000;;0,10%;;;;;;;
Ouro Negro;Joinville;VITOR MEIRELES;SC; R$ 23,54 ; R$ 25,11 ; R$ 26,67 ; R$ 28,24 ; R$ 28,24 ;;;;;;;;0,25%;0,34611; R$ 3,27 ;;;;;;;;
SC TRANSPORTES;JOINVILLE;COCAL DO SUL;SC; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ;;;3,08%;0,46200;;;;;;;;;
Ouro Negro;Joinville;Laguna;SC; R$ 22,70 ; R$ 24,58 ; R$ 26,48 ; R$ 26,48 ; R$ 28,39 ;;;;;;;;0,25%;0,284,27; R$ 3,27 ;;;;;;;;
AGEX;ARAPONGAS;PORTO RICO;PR; R$ 33,05 ; R$ 35,81 ; R$ 35,81 ; R$ 41,31 ; R$ 41,31 ; R$ 44,07 ; R$ 44,07 ; R$ 55,08 ; R$ 55,08 ; R$ 55,08 ;;;0,30%;0,50000;;0,10%;;;;;;;
Ouro Negro;Joinville;RANCHO QUEIMADO;SC; R$ 23,54 ; R$ 25,11 ; R$ 26,67 ; R$ 28,24 ; R$ 28,24 ;;;;;;;;0,25%;0,34611; R$ 3,27 ;;;;;;;;
TOP FLORIPA;OSASCO;JOINVILLE;SC; R$ 80,00 ; R$ 80,00 ; R$ 80,00 ; R$ 80,00 ; R$ 80,00 ; R$ 90,00 ; R$ 90,00 ; R$ 90,00 ; R$ 90,00 ; R$ 90,00 ;; R$ 31,96 ;0,30%;0,36398;;0,01%;;;;;;;
SC TRANSPORTES;JOINVILLE;ANITAPOLIS;SC; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ;;;3,08%;0,46200;;;;;;;;;
SC TRANSPORTES;JOINVILLE;LAGUNA;SC; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ;;;3,08%;0,46200;;;;;;;;;
DILSON RENATO;CHAPECO;ITA;SC; R$ 59,00 ; R$ 65,00 ; R$ 65,00 ; R$ 70,00 ; R$ 70,00 ; R$ 76,00 ; R$ 76,00 ; R$ 76,00 ; R$ 76,00 ; R$ 76,00 ;;;0,50%;0,40000;;;;;;;;;
DILSON RENATO;CHAPECO;CHAPECO;SC;; R$ 25,00 ; R$ 30,00 ; R$ 70,00 ; R$ 70,00 ; R$ 76,00 ; R$ 76,00 ; R$ 76,00 ; R$ 76,00 ; R$ 76,00 ;;;0,50%;0,40000;;;;;;;;;
ALFA;PORTO ALEGRE;TRAMANDAI;RS; R$ 26,35 ; R$ 31,16 ; R$ 31,16 ; R$ 35,95 ; R$ 35,95 ; R$ 40,75 ; R$ 40,75 ; R$ 47,93 ; R$ 47,93 ; R$ 47,93 ; R$ 59,88 ; R$ 23,96 ;0,20%;0,32420; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;JOINVILLE;TRES BARRAS;SC; R$ 27,20 ; R$ 27,20 ; R$ 32,17 ; R$ 32,17 ;R$ 37,12; R$ 37,12 ; R$ 42,06 ; R$ 42,06 ; R$ 42,06 ; R$ 49,48 ; R$ 61,81 ; R$ 24,73 ;0,20%;0,33730; R$ 4,45 ;0,15%;3,35;;50%;;;;
Expresso Princesa;CURITIBA;CAMPO LARGO;PR; R$ 31,86 ; R$ 34,76 ; R$ 37,66 ; R$ 43,47 ; R$ 43,47 ; R$ 46,36 ; R$ 43,36 ; R$ 57,93 ; R$ 57,93 ; R$ 57,93 ;;;0,30%;0,58000;;0,10%;;;;;;;
Expresso Princesa;JOINVILLE;SAO JOSE DOS PINHAIS;PR; R$ 23,73 ; R$ 24,96 ; R$ 25,80 ; R$ 30,13 ; R$ 30,13 ; R$ 34,43 ; R$ 34,43 ; R$ 43,03 ; R$ 43,03 ; R$ 43,03 ;;;0,30%;0,42640;;0,10%;;;;;;;
ALFA;PORTO ALEGRE;TRES CACHOEIRAS;RS; R$ 22,86 ; R$ 27,03 ; R$ 27,03 ; R$ 31,19 ; R$ 31,19 ; R$ 35,34 ; R$ 35,34 ; R$ 41,58 ; R$ 41,58 ; R$ 41,58 ; R$ 51,94 ; R$ 20,79 ;0,20%;0,28120; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
AGEX;ARAPONGAS;CORNELIO PROCOPIO;PR; R$ 28,89 ; R$ 31,29 ; R$ 31,29 ; R$ 36,11 ; R$ 36,11 ; R$ 38,52 ; R$ 38,52 ; R$ 48,15 ; R$ 48,15 ; R$ 48,15 ;;;0,30%;0,55000;;0,10%;;;;;;;
ALFA;PORTO ALEGRE;TRES DE MAIO;RS; R$ 41,23 ; R$ 49,39 ; R$ 49,39 ; R$ 57,51 ; R$ 57,51 ; R$ 65,64 ; R$ 65,64 ; R$ 77,88 ; R$ 77,88 ; R$ 77,88 ; R$ 98,23 ; R$ 37,15 ;0,20%;0,55100; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;PORTO ALEGRE;TRES PASSOS;RS; R$ 35,77 ; R$ 42,84 ; R$ 42,84 ; R$ 49,89 ; R$ 49,89 ; R$ 56,94 ; R$ 56,94 ; R$ 67,55 ; R$ 67,55 ; R$ 67,55 ; R$ 85,21 ; R$ 32,22 ;0,20%;0,47800; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
AGEX;ARAPONGAS;TELEMACO BORBA;PR; R$ 28,89 ; R$ 31,29 ; R$ 31,29 ; R$ 36,11 ; R$ 36,11 ; R$ 38,52 ; R$ 38,52 ; R$ 48,15 ; R$ 48,15 ; R$ 48,15 ;;;0,30%;0,55000;;0,10%;;;;;;;
Ouro Negro;JOINVILLE;PORTO UNIAO;SC; R$ 69,02 ; R$ 70,60 ; R$ 72,18 ; R$ 73,75 ; R$ 73,75 ;;;;;;;;0,40%;0,94316; R$ 3,27 ;;;;;;;;
Ouro Negro;JOINVILLE;ITAIOPOLIS;SC; R$ 32,96 ; R$ 34,53 ; R$ 36,08 ; R$ 37,66 ; R$ 37,66 ;;;;;;;;0,25%;0,39154; R$ 3,27 ;;;;;;;;
Ouro Negro;JOINVILLE;VIDEIRA;SC; R$ 29,80 ; R$ 31,38 ; R$ 32,96 ; R$ 34,53 ; R$ 34,53 ;;;;;;;;0,25%;0,39154; R$ 3,27 ;;;;;;;;
Ouro Negro;JOINVILLE;URUBICI;SC; R$ 23,54 ; R$ 25,11 ; R$ 26,67 ; R$ 28,24 ; R$ 28,24 ;;;;;;;;0,25%;0,34611; R$ 3,27 ;;;;;;;;
ALFA;CHAPECO;TREZE TILIAS;SC; R$ 26,14 ; R$ 30,91 ; R$ 30,91 ; R$ 35,67 ; R$ 35,67 ; R$ 40,42 ; R$ 40,42 ; R$ 47,42 ; R$ 47,59 ; R$ 47,59 ; R$ 59,45 ; R$ 23,78 ;0,20%;0,32190; R$ 4,13 ;0,15%;3,68;;50%;;;;
ALFA;JOINVILLE;TREZE TILIAS;SC; R$ 32,65 ; R$ 32,65 ; R$ 38,60 ; R$ 38,60 ;R$ 44,55; R$ 44,55 ; R$ 50,46 ; R$ 50,46 ; R$ 50,46 ; R$ 59,37 ; R$ 74,19 ; R$ 29,67 ;0,20%;0,40500; R$ 4,45 ;0,15%;3,35;;50%;;;;
Expresso Princesa;CURITIBA;SALTO DO LONTRA;PR; R$ 31,86 ; R$ 34,76 ; R$ 37,66 ; R$ 43,47 ; R$ 43,47 ; R$ 46,36 ; R$ 43,36 ; R$ 57,93 ; R$ 57,93 ; R$ 57,93 ;;;0,30%;0,58000;;0,10%;;;;;;;
Expresso Princesa;CURITIBA;NOVA PRATA DO IGUACU;PR; R$ 31,86 ; R$ 34,76 ; R$ 37,66 ; R$ 43,47 ; R$ 43,47 ; R$ 46,36 ; R$ 43,36 ; R$ 57,93 ; R$ 57,93 ; R$ 57,93 ;;;0,30%;0,58000;;0,10%;;;;;;;
Aceville;SAO PAULO;JOINVILLE;sc; R$ 52,79 ; R$ 52,79 ; R$ 58,15 ; R$ 58,15 ; R$ 58,15 ; R$ 63,22 ; R$ 63,22 ; R$ 68,28 ; R$ 68,28 ; R$ 68,28 ;;;0,40%;0,4228;;0,15%;;;;;;;
ALFA;PORTO ALEGRE;Triunfo;RS; R$ 20,62 ; R$ 24,38 ; R$ 24,38 ; R$ 28,13 ; R$ 28,13 ; R$ 31,88 ; R$ 31,88 ; R$ 37,53 ; R$ 37,53 ; R$ 37,53 ; R$ 46,88 ; R$ 18,75 ;0,20%;0,25380; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;PORTO ALEGRE;TUPANDI;RS; R$ 20,62 ; R$ 24,38 ; R$ 24,38 ; R$ 28,13 ; R$ 28,13 ; R$ 31,88 ; R$ 31,88 ; R$ 37,53 ; R$ 37,53 ; R$ 37,53 ; R$ 46,88 ; R$ 18,75 ;0,20%;0,25380; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
Ouro Negro;JOINVILLE;BALNEARIO GAIVOTA;SC; R$ 26,48 ; R$ 28,39 ; R$ 30,27 ; R$ 30,27 ; R$ 32,15 ;;;;;;;;0,25%;0,32340; R$ 3,27 ;;;;;;;;
Leomar;PORTO ALEGRE;PORTO ALEGRE;RS; R$ 2,85 ; R$ 5,70 ; R$ 8,55 ; R$ 11,40 ; R$ 14,25 ; R$ 17,10 ; R$ 19,95 ; R$ 22,80 ; R$ 25,65 ; R$ 28,50 ;;;0,50%;0,28500; R$ 27,20 ;0,15%; R$ 3,00 ;;;;;;POAP
Expresso Princesa;CURITIBA;TAMARANA;PR; R$ 31,86 ; R$ 34,76 ; R$ 37,66 ; R$ 43,47 ; R$ 43,47 ; R$ 46,36 ; R$ 43,36 ; R$ 57,93 ; R$ 57,93 ; R$ 57,93 ;;;0,30%;0,58000;;0,10%;;;;;;;
Expresso Princesa;CURITIBA;COLOMBO;PR; R$ 31,86 ; R$ 34,76 ; R$ 37,66 ; R$ 43,47 ; R$ 43,47 ; R$ 46,36 ; R$ 43,36 ; R$ 57,93 ; R$ 57,93 ; R$ 57,93 ;;;0,30%;0,58000;;0,10%;;;;;;;
ALFA;JOINVILLE;UBERLANDIA;MG; R$ 57,73 ; R$ 70,11 ; R$ 70,11 ; R$ 82,49 ;R$ 82,49; R$ 94,87 ; R$ 94,87 ; R$ 113,42 ; R$ 113,42 ; R$ 113,42 ; R$ 144,35 ; R$ 51,53 ;0,20%;0,77620; R$ 4,45 ;0,15%;3,35;;50%;;;;
SC TRANSPORTES;JOINVILLE;XAXIM;SC; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ;;;3,08%;0,46200;;;;;;;;;
SC TRANSPORTES;JOINVILLE;ITAPOA;SC; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ;;;3,08%;0,46200;;;;;;;;;
Ouro Negro;JOINVILLE;TIMBE DO SUL;SC; R$ 22,70 ; R$ 24,58 ; R$ 26,48 ; R$ 26,48 ; R$ 28,39 ;;;;;;;;0,25%;0,284,27; R$ 3,27 ;;;;;;;;
SC TRANSPORTES;JOINVILLE;BALNEARIO CAMBORIU;SC; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ;;;3,08%;0,46200;;;;;;;;;
SC TRANSPORTES;JOINVILLE;SAO JOAO BATISTA;SC; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ; R$ 46,00 ;;;3,08%;0,46200;;;;;;;;;
MENGUE;JOINVILLE;VIDEIRA;SC; R$ 32,00 ; R$ 32,00 ; R$ 32,00 ; R$ 32,00 ; R$ 32,00 ; R$ 32,00 ; R$ 32,00 ; R$ 32,00 ; R$ 32,00 ; R$ 32,00 ;;;0,10%;0,39000;;0,15%;2,50; R$ 180,00 ;;;;;
Expresso Princesa;CURITIBA;PATO BRAGADO;SC; R$ 30,06 ; R$ 32,79 ; R$ 35,53 ; R$ 41,00 ; R$ 41,00 ; R$ 43,73 ; R$ 43,73 ; R$ 54,65 ; R$ 54,65 ; R$ 54,65 ;;;0,30%;0,54670;;0,10%;;;;;;;
Expresso Princesa;CURITIBA;HONORIO SERPA;SC; R$ 30,06 ; R$ 32,79 ; R$ 35,53 ; R$ 41,00 ; R$ 41,00 ; R$ 43,73 ; R$ 43,73 ; R$ 54,65 ; R$ 54,65 ; R$ 54,65 ;;;0,30%;0,54670;;0,10%;;;;;;;
